"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Traffic monitoring","Traffic analytics & search","Page load","0","0","1","0","0"
"Traffic monitoring","Traffic analytics & search","Date filter","0","0","2","0","0"
"Traffic monitoring","Traffic analytics & search","Access control","0","0","1","0","0"
"Traffic monitoring","Traffic analytics & search","Pagination","0","0","2","0","0"
"Traffic monitoring","Traffic dashboard","Data accuracy — charts","0","0","1","0","0"
"Traffic monitoring","Traffic dashboard","Recent alerts","0","0","3","0","0"
"Traffic monitoring","Traffic alerts","Page load","0","0","1","0","0"
"Traffic monitoring","Traffic alerts","Pagination","0","0","1","0","0"
"Traffic monitoring","Traffic dashboard","Page load","0","0","2","0","0"
"Traffic monitoring","Traffic analytics & search","Navigation","0","0","2","0","0"
"Traffic monitoring","Traffic dashboard","Navigation","0","0","5","0","0"
"Traffic monitoring","Traffic dashboard","Data table","0","0","3","0","0"
"Traffic monitoring","Traffic dashboard","Refresh","0","0","2","0","0"
"Traffic monitoring","Traffic analytics & search","Congestion filter","0","0","2","0","0"
"Traffic monitoring","Traffic analytics & search","Location filter","0","0","2","0","0"
"Traffic monitoring","Traffic alerts","Filtering","0","0","4","0","0"
"Traffic monitoring","Traffic alerts","Default state","0","0","1","0","0"
"Traffic monitoring","Traffic analytics & search","Filter state","0","0","2","0","0"
"Traffic monitoring","Traffic alerts","Mark as read","0","0","1","0","0"
"Traffic monitoring","Traffic dashboard","Charts","0","0","2","0","0"
"Traffic monitoring","Traffic dashboard","Stats cards","0","0","2","0","0"
"Traffic monitoring","Traffic dashboard","Access control","0","0","1","0","0"
"Traffic monitoring","Traffic alerts","Navigation","0","0","1","0","0"
"Traffic monitoring","Traffic alerts","Alert content","0","0","2","0","0"
"Traffic monitoring","Traffic analytics & search","Reset","0","0","1","0","0"
"Traffic monitoring","Traffic analytics & search","Default state","0","0","2","0","0"
"Traffic monitoring","Traffic analytics & search","Data accuracy","0","0","1","0","0"
"Traffic monitoring","Traffic analytics & search","Sort","0","0","1","0","0"
"Traffic monitoring","Traffic alerts","Access control","0","0","1","0","0"
"Traffic monitoring","Traffic dashboard","Data accuracy — table","0","0","1","0","0"
