"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 30 21:23:17 EEST 2026","Sat May 30 21:23:17 EEST 2026","39","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC103_pageLoads","TC-103: Traffic analytics page loads and URL is /traffic-analytics","Navigates to /traffic-analytics and verifies the URL and page title are present."
"passed","Sat May 30 21:26:38 EEST 2026","Sat May 30 21:26:54 EEST 2026","16506","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC114_validDateRangeFiltersResults","TC-114: Valid date range filters results to that window","Sets a date range covering today. Expects results (seeded data was just posted) and no date error. Active filter count must be 2 (from + to)."
"passed","Sat May 30 21:28:12 EEST 2026","Sat May 30 21:28:13 EEST 2026","663","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC121_unauthenticatedAccess","TC-121: Unauthenticated access to /traffic-analytics redirects to /signin","Deletes all cookies then navigates to /traffic-analytics. Angular auth guard must redirect."
"passed","Sat May 30 21:27:42 EEST 2026","Sat May 30 21:27:43 EEST 2026","822","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC117_changingPageSizeApplies","TC-117: Changing page size re-fetches with the new per-page count","Changes the per-page select to 10 and verifies the row count is <= 10 and the record-count label is still present."
"passed","Sat May 30 21:19:27 EEST 2026","Sat May 30 21:19:28 EEST 2026","907","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC082_chartsMatchTrendsApi","TC-082: Density line and speed bar charts match the trends API","Seeds a reading, refreshes, waits for charts to render, then reads the trends API newest record and the UI leftmost dot/bar (both = newest reading after Angular reversal) and asserts they match."
"passed","Sat May 30 21:18:47 EEST 2026","Sat May 30 21:18:47 EEST 2026","19","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC076_recentAlertsCappedAtFive","TC-076: Recent alerts section shows at most 5 alerts","The TS component slices to the latest 5. Count must never exceed 5."
"passed","Sat May 30 21:31:55 EEST 2026","Sat May 30 21:31:55 EEST 2026","45","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC091_alertsPageLoads","TC-091: Traffic alerts page loads and URL is /traffic-alerts","Navigates to /traffic-alerts and verifies URL and page title."
"passed","Sat May 30 21:34:06 EEST 2026","Sat May 30 21:34:07 EEST 2026","87","Default Suite","FrontendTestingFramework","tests.TrafficAlertsTest","tests.TrafficAlertsTest","TC101_paginationForManyAlerts","TC-101: Pagination shows when alerts exceed page size of 15","Verifies pagination controls appear with non-zero rows when total > 15."
"passed","Sat May 30 21:16:44 EEST 2026","Sat May 30 21:16:44 EEST 2026","27","Default Suite","FrontendTestingFramework","tests.TrafficDashboardTest","tests.TrafficDashboardTest","TC062_pageTitleDisplayed","TC-062: 'Traffic Monitoring Dashboard' page title is displayed","Verifies the .page-title element is visible."
"passed","Sat May 30 21:28:02 EEST 2026","Sat May 30 21:28:03 EEST 2026","1429","Default Suite","FrontendTestingFramework","tests.TrafficAnalyticsTest","tests.TrafficAnalyticsTest","TC119_backLinkNavigatesToDashboard","TC-119: Back link navigates to /traffic dashboard","Clicks the back arrow and verifies navigation to /traffic."
